,name,location,rating,num_rating,price
197,Sauternes (Premier Grand Cru Classé) 2009,"Sauternes, France",4.4,771 ratings,Available online from $99.99
198,Sauternes (Premier Grand Cru Classé) 2006,"Sauternes, France",4.4,760 ratings,Available online from $82
199,Sauternes (Premier Grand Cru Classé) 2010,"Sauternes, France",4.4,732 ratings,Available online from $69.95
200,Sauternes (Premier Grand Cru Classé) 2005,"Sauternes, France",4.4,701 ratings,Available online from $75
201,Vidal Icewine 2015,"Niagara Peninsula, Canada",4.4,695 ratings,Available online from $49.96
202,5 Puttonyos Aszú (Blue Label) 2016,"Tokaj, Hungary",4.4,667 ratings,Available online from $56
203,5 Puttonyos Aszú (Red Label) 2013,"Tokaj, Hungary",4.4,558 ratings,Available online from $59.99
204,Sauternes (Premier Grand Cru Classé) 1999,"Sauternes, France",4.4,545 ratings,Available online from $68
205,Tokaji Aszú 5 Puttonyos 2008,"Tokaj, Hungary",4.4,525 ratings,Available online from $69.99
206,Sauternes (Premier Grand Cru Classé) 1998,"Sauternes, France",4.4,427 ratings,Available online from $89
207,Sauternes (Premier Grand Cru Classé) 2011,"Sauternes, France",4.4,418 ratings,Available online from $31
208,Sauternes (Premier Grand Cru Classé) 1988,"Sauternes, France",4.4,409 ratings,Available online from $68
209,Tokaji Aszú 5 Puttonyos 2007,"Tokaj, Hungary",4.4,398 ratings,Available online from $90
210,Barsac (Premier Grand Cru Classé) 2006,"Barsac, France",4.4,371 ratings,Available online from $62.32
211,Tokaji Aszú 5 Puttonyos 2011,"Tokaj, Hungary",4.4,347 ratings,Available online from $42.99
212,Grünlack Riesling Spätlese 2019,"Rheingau, Germany",4.4,342 ratings,Available online from $59.99
213,Sauternes (Lur Saluces) 2005,"Sauternes, France",4.4,338 ratings,Available online from $107.65
214,Sauternes (Premier Grand Cru Classé) 2015,"Sauternes, France",4.4,328 ratings,Available online from $184.99
215,Vin Santo del Chianti Classico 2005,"Vin Santo del Chianti Classico, Italy",4.4,268 ratings,Available online from $44.99
216,Sauternes (Premier Grand Cru Classé) 2015,"Sauternes, France",4.4,242 ratings,Available online from $68.56
